Category,Sl.No.,Ministry/Department,Scheme,"Actuals 2021-2022 Revenue
",Actuals 2021-2022 Capital,Actuals 2021-2022 Total,Budget Estimates 2022-2023 Revenue,Budget Estimates 2022-2023 Capital,Budget Estimates 2022-2023 Total,Revised Estimates2022-2023 Revenue,Revised Estimates 2022-2023 Revenue,Revised Estimates2022-2023 Total,Budget Estimates2023-2024 Revenue,Budget Estimates2023-2024 Capital,Budget Estimates2023-2024 Total
Demand No. 1,1,Department of Agriculture and Farmers Welfare,Crop Insurance Scheme,13549.24,0,13549.24,15500,0,15500,12375.76,0,12375.76,13625,0,13625
Demand No. 1,2,Department of Agriculture and Farmers Welfare,Interest Subsidy for Short Term Credit to Farmers,21476.93,0,21476.93,0,0,0,0,0,0,0,0,0
Demand No. 1,3,Department of Agriculture and Farmers Welfare,Modified Interest Subvention Scheme (MISS),0,0,0,19500,0,19500,22000,0,22000,23000,0,23000
Demand No. 1,4,Department of Agriculture and Farmers Welfare,Market Intervention Scheme and Price Support Scheme (MIS-PSS),2288.33,0,2288.33,1500,0,1500,1500,0,1500,0.01,0,0.01
Demand No. 1,5,Department of Agriculture and Farmers Welfare,Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA),0,0,0,1,0,1,0,0,0,0.01,0,0.01
Demand No. 1,6,Department of Agriculture and Farmers Welfare,Distribution of Pulses to State / Union Territories for Welfare Schemes,50,0,50,9,0,9,166.21,0,166.21,800,0,800
Demand No. 1,7,Department of Agriculture and Farmers Welfare,Promotion of Agricultural Mechanization for in-situ Management of Crop Residue,691.3,0,691.3,0,0,0,0,0,0,0,0,0
Demand No. 1,8,Department of Agriculture and Farmers Welfare,Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),66825.11,0,66825.11,68000,0,68000,60000,0,60000,60000,0,60000
Demand No. 1,9,Department of Agriculture and Farmers Welfare,Pradhan Mantri Kisan Man Dhan Yojana,39.5,0,39.5,100,0,100,50,0,50,100,0,100
Demand No. 1,10,Department of Agriculture and Farmers Welfare,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)",427.04,0,427.04,500,0,500,955,0,955,955,0,955
Demand No. 1,11,Department of Agriculture and Farmers Welfare,Agriculture Infrastructure Fund (AIF),21.43,0,21.43,500,0,500,150,0,150,500,0,500
Demand No. 1,12,Department of Agriculture and Farmers Welfare,National Beekeeping Honey Mission (NBHM),0,0,0,100,0,100,100,0,100,0.01,0,0.01
Demand No. 2,13,Department of Agricultural Research and Education,Agricultural Extension,283.71,0,283.71,243.72,0,243.72,243.72,0,243.72,327,0,327
Demand No. 2,14,Department of Agricultural Research and Education,Agricultural Engineering,54.9,0,54.9,48.3,0,48.3,48.3,0,48.3,65,0,65
Demand No. 2,15,Department of Agricultural Research and Education,Natural Resource Management Institutes including Agro Forestry Research,167.56,0,167.56,144.9,0,144.9,144.9,0,144.9,240,0,240
Demand No. 2,16,Department of Agricultural Research and Education,Climate Resilient Agriculture Initiative,47,0,47,40.87,0,40.87,40.87,0,40.87,0,0,0
Demand No. 2,17,Department of Agricultural Research and Education,Crop Science,603.28,0,603.28,526.08,0,526.08,526.04,0,526.04,714.41,0,714.41
Demand No. 2,18,Department of Agricultural Research and Education,Horticultural Science,181.46,0,181.46,157.53,0,157.53,157.53,0,157.53,212,0,212
Demand No. 2,19,Department of Agricultural Research and Education,National Agricultural Science Fund,42,0,42,35.67,0,35.67,35.67,0,35.67,0,0,0
Demand No. 2,20,Department of Agricultural Research and Education,Animal Science,257.59,0,257.59,224.41,0,224.41,224.41,0,224.41,300,0,300
Demand No. 2,21,Department of Agricultural Research and Education,Fisheries Science,137.99,0,137.99,118.89,0,118.89,118.89,0,118.89,150,0,150
Demand No. 2,22,Department of Agricultural Research and Education,Agricultural Universities and Institutions,299.94,0,299.94,263.77,0,263.77,263.77,0,263.77,322.74,0,322.74
Demand No. 2,23,Department of Agricultural Research and Education,Economic Statistics and Management,27.65,0,27.65,24.51,0,24.51,24.51,0,24.51,0,0,0
Demand No. 2,24,Department of Agricultural Research and Education,National Agricultural Higher Education Project (EAP),224.63,0,224.63,167.18,0,167.18,167,0,167,92.26,0,92.26
Demand No. 3,25,Atomic Energy,R&D projects of Bhabha Atomic Research Centre (BARC),0,1308.77,1308.77,NA,1258.94,1258.94,0,955.29,955.29,0,1012.9,1012.9
Demand No. 3,26,Atomic Energy,R&D projects of Indira Gandhi Centre of Atomic Research (IGCAR),0,232.92,232.92,NA,244.04,244.04,0,212.01,212.01,0,214.41,214.41
Demand No. 3,27,Atomic Energy,R&D projects of Raja Ramanna Centre for Advanced Technology (RRCAT),0,89.26,89.26,NA,100,100,0,125,125,0,140.69,140.69
Demand No. 3,28,Atomic Energy,R&D projects of Atomic Minerals Directorate for Exploration and Research (AMDER),0,144.06,144.06,NA,171.37,171.37,0,221.84,221.84,0,221.75,221.75
Demand No. 3,29,Atomic Energy,Grants to other Institutions,61.88,0,61.88,71,0,71,100,0,100,100,0,100
Demand No. 3,30,Atomic Energy,Fuel Recycle Projects (NRB),0,646.13,646.13,NA,800,800,0,703.5,703.5,0,805.21,805.21
Demand No. 3,31,Atomic Energy,Housing Projects,0,216.74,216.74,NA,182.5,182.5,0,165,165,0,206.9,206.9
Demand No. 3,32,Atomic Energy,Improvement/Modifications of Heavy water projects,0,33.42,33.42,NA,25.97,25.97,0,32,32,0,50.23,50.23
Demand No. 3,33,Atomic Energy,Feedstock,0,1080.02,1080.02,NA,1419.16,1419.16,0,1374.3,1374.3,0,1599.47,1599.47
